crv_nm,scn_no,tenor,rate
CHAR,INT,,
SPREADCRV.BEF,0,1,-0.0009095
SPREADCRV.BEF,0,7,-0.0008544
SPREADCRV.BEF,0,30,-0.0008868
SPREADCRV.BEF,0,61,-0.0012204
SPREADCRV.BEF,0,91,-0.0013793
SPREADCRV.BEF,0,121,-0.0019574
SPREADCRV.BEF,0,151,-0.0026072
SPREADCRV.BEF,0,182,-0.0032786
SPREADCRV.BEF,0,212,-0.0035013
SPREADCRV.BEF,0,243,-0.003643
SPREADCRV.BEF,0,273,-0.0037802
SPREADCRV.BEF,0,304,-0.0038392
SPREADCRV.BEF,0,334,-0.003877
SPREADCRV.BEF,0,365,-0.0039161
SPREADCRV.BEF,0,549,-0.0029608
SPREADCRV.BEF,0,730,-0.003102
SPREADCRV.BEF,0,1095,-0.0031284
SPREADCRV.BEF,0,1460,-0.0026575
SPREADCRV.BEF,0,1825,-0.002501
SPREADCRV.BEF,0,2190,-0.0023217
SPREADCRV.BEF,0,2555,-0.0020378
SPREADCRV.BEF,0,2920,-0.0015775
SPREADCRV.BEF,0,3285,-0.0010673
SPREADCRV.BEF,0,3650,-0.0005993
SPREADCRV.BEF,0,4015,-0.0004377
SPREADCRV.BEF,0,4380,-0.0003851
SPREADCRV.BEF,0,4745,-0.0000655
SPREADCRV.BEF,0,5110,0.0002594
SPREADCRV.BEF,0,5475,0.0005843
SPREADCRV.BEF,0,5840,0.0010296
SPREADCRV.BEF,0,6205,0.0014203
SPREADCRV.BEF,0,6570,0.0018109
SPREADCRV.BEF,0,6935,0.0022016
SPREADCRV.BEF,0,7300,0.002234
SPREADCRV.BEF,0,7665,0.0024797
SPREADCRV.BEF,0,8030,0.0027308
SPREADCRV.BEF,0,8395,0.0029819
SPREADCRV.BEF,0,8760,0.0032329
SPREADCRV.BEF,0,9125,0.003484
SPREADCRV.BEF,0,10950,0.0050557
SPREADCRV.BEF,0,12775,0.0053468
SPREADCRV.BEF,0,14600,0.0056393
SPREADCRV.BEF,0,16425,0.0059319
SPREADCRV.BEF,0,18250,0.0062244
